Channel Title,Channel ID,View Count,Subscribers,Total Videos,Country,Started Date,Category
Comedy Central España,UCgQmxYfWVp_x7gFSZOpRWVw,106377012,156000,1592,Spain,Unknown,Comedy
Zyad Comedy,UCFM131Lvri3Cqod5PPeLc6g,299043297,1280000,667,Morocco,2015-09-14,Comedy
Comedy Central Italia,UCZH1ypQDpzzlHw5rrrvNYBg,245920638,439000,2144,Italy,2018-08-29,Comedy
Montreux Comedy,UCPHJfLg1VeNBsfzzTszpmmQ,1149969253,2120000,1385,France,2009-10-29,Comedy
Funny Factory,UC-ZlBFS4oNWfGDPOMCWtJmg,1271736424,3020000,1500,India,2019-03-14,Comedy
Comedy Group | კომედი ჯგუფი,UCP15enbGNaTKryGPBfvyegQ,910107452,712000,4209,Georgia,2018-04-20,Comedy
Ildephonse Swahili&English Comedy,UCbvqaJ4wm5tr7yf3PU7bC6g,45084927,397000,266,Kenya,2016-05-24,Comedy
Madhukar Kute Comedy ,UC5iZg_s9-sp6M0l6NAzVOgw,870314830,2240000,2022,India,2011-07-27,Comedy
Ayngaran Tamil Movie Comedy,UCsBqRzkNA4j1AKgNjiEO60g,393152278,852000,4084,India,2016-10-07,Comedy
COMEDY SONOTEK,UCMwSNIgU8BWx87MI9pYLfqA,1430279978,4640000,1589,India,2016-12-03,Comedy
Comedy Central Latinoamérica,UCJGanRdrtdqYlDPoBEM_C_A,2047113998,4180000,5721,Argentina,2014-03-06,Comedy
Raku banna sa comedy ,UCyV74DwNdEDIWFaM1NZX56Q,3424379,46900,43,N/A,2017-03-19,Comedy
ZDF Comedy,UCCdKkuyDe0rt950_fF3lAig,110754785,131000,912,Germany,Unknown,Comedy
Curitiba Comedy Shorts,UCQAfCG_aiucFLXNnkukgLvw,119226156,564000,1581,Brazil,2013-11-14,Comedy
Mojiborer Comedy Channel মজিবরের কমেডি চ্যানেল ,UCRRNaqLzUtYYxCSE7E_Gzcw,179155381,622000,648,India,2019-02-18,Comedy
Black Nerd Comedy,UCngMw0G2y2YFLPVbyEsfVog,183529797,831000,1626,United States,2007-07-10,Comedy
ARD Stand-Up,UCueJOpg1SG9mahPjhALlvJw,160060333,334000,977,Germany,Unknown,Comedy
