Channel ID,Channel Title,Category,Country,Year,Sum of Subscribers,Sum of Total Videos,Sum of View Count,Channel Age,Subscribers per view,Subscribers per year,Viewers per year,Is_SubscriberOutlier,Is_TotalVideosOutlier,Is_ViewCountOutlier,Sum of Log_Subscribers,Sum of Log_TotalVideos,Sum of Log_ViewCount
UCs-6sCz2LJm1PrWQN4ErsPw,TNT Sports Brasil,Sports,Brazil,2009,11900000,11004,3521455177,16,0.003379285,743750,220090948.6,Yes,Yes,Yes,7.075546997887864,4.041590046889366,9.546722164950088
UCSBJ8i2bmxHflkWkfn2ZRnA,Pittsburgh Pets,Pets & Animals,United States,2016,12100,859,2438236,9,0.004962604,1344.444444,270915.1111,No,No,No,4.08282126093933,2.934498451243568,6.387075917356886
UCsBqRzkNA4j1AKgNjiEO60g,Ayngaran Tamil Movie Comedy,Comedy,India,2016,852000,4084,393152278,9,0.002167099,94666.66667,43683586.44,No,No,No,5.9304401045017086,3.6111920608684343,8.59456079750007
UCSCm-WAc3eFhitDciUqLF5Q,VideoTutoriales Education,Education,Spain,2014,48100,280,9922319,11,0.004847657,4372.727273,902029,No,No,No,4.682154105271285,2.44870631990508,6.9966132291497924
UCsERIdRMS0xRD35DfjuAUbA,Packaging News,News & Politics,Australia,2014,440,551,106747,11,0.004121896,40,9704.272727,No,No,No,2.6444385894678386,2.741939077729199,5.028359746956072
UCSFs5M-2h3Pc3qreWJ34-ew,Brighton Science,Science & Technology,United States,2015,152,28,26762,10,0.005679695,15.2,2676.2,No,No,No,2.184691430817599,1.462397997898956,4.427534794089044
UCSgeCjcPYYZXR62Cykv43sA,7 News Spotlight,News & Politics,Australia,2019,967000,431,253006802,6,0.003822032,161166.6667,42167800.33,No,No,No,5.985426923198056,2.635483746814912,8.403132198905615
UCShHFwKyhcDo3g7hr4f1R8A,World Science Festival,Science & Technology,United States,2008,1340000,1294,234690829,17,0.005709639,78823.52941,13805342.88,No,No,No,6.127105122465046,3.1122697684172707,8.370496120880224
UCshyqLGk1RJgLVzil_iDPkA,Nonprofit Utopia,Nonprofits & Activism,United States,2018,605,219,26621,7,0.022726419,86.42857143,3803,No,No,No,2.782472624166286,2.342422680822206,4.425240679100199
UCsIEFXNO4bxh0hW3-_z2-0g,Comedy Club,Comedy,Russian Federation,2016,6760000,961,4109705292,9,0.001644887,751111.1111,456633921.3,Yes,No,Yes,6.829946760186377,2.983175072037813,9.613810679731827
UCsJCJD1tAzTZ1eUUiskH-9w,VTH Gaming,Gaming,United States,2016,75000,1591,13601489,9,0.005514102,8333.333333,1511276.556,No,No,No,4.8750670539461884,3.20194306340165,7.133586486556463
